x,y
-3.9875000000000007,0.0
-3.9624999999999986,0.0
-3.9375,0.0
-3.9125000000000014,0.0
-3.8874999999999993,0.0
-3.8625000000000007,0.0
-3.8374999999999986,0.0
-3.8125,0.0
-3.7875000000000014,0.0
-3.7624999999999993,0.0
-3.7375000000000007,0.0
-3.7124999999999986,0.0
-3.6875,0.0
-3.6625000000000014,0.0
-3.6374999999999993,0.0
-3.6125000000000007,0.0
-3.5874999999999986,0.0
-3.5625,0.0
-3.5375000000000014,0.0
-3.5124999999999993,0.0
-3.4875000000000007,0.0
-3.4624999999999986,0.0
-3.4375,0.0
-3.4125000000000014,0.0
-3.3874999999999993,0.0
-3.3625000000000007,0.0
-3.3374999999999986,0.0
-3.3125,0.0
-3.2875000000000014,0.0
-3.2624999999999993,0.0
-3.2375000000000007,0.0
-3.2124999999999986,0.0
-3.1875,0.0
-3.1625000000000014,0.0
-3.1374999999999993,0.0
-3.1125000000000007,0.0
-3.0874999999999986,0.0
-3.0625,0.0
-3.0375000000000014,0.0
-3.0124999999999993,0.0
-2.9875000000000007,0.0
-2.9624999999999986,0.0
-2.9375,2.4000000000001363e-06
-2.9125000000000014,1.2799999999998908e-05
-2.8874999999999993,2.320000000000132e-05
-2.8625000000000007,7.840000000000445e-05
-2.8374999999999986,0.00015039999999998718
-2.8125,0.000316800000000018
-2.7875000000000014,0.0005375999999999542
-2.7624999999999993,0.0008488000000000483
-2.7375000000000007,0.0012088000000000686
-2.7124999999999986,0.0017287999999998527
-2.6875,0.0023840000000001356
-2.6625000000000014,0.003108799999999735
-2.6374999999999993,0.0039072000000002225
-2.6125000000000007,0.005091200000000289
-2.5874999999999986,0.0061863999999994725
-2.5625,0.007453600000000424
-2.5375000000000014,0.009004799999999232
-2.5124999999999993,0.010498400000000596
-2.4875000000000007,0.0122816000000007
-2.4624999999999986,0.014166399999998792
-2.4375,0.016308800000000928
-2.4125000000000014,0.018385599999998434
-2.3874999999999993,0.020704800000001175
-2.3625000000000007,0.023324000000001326
-2.3374999999999986,0.025841599999997796
-2.3125,0.02836800000000161
-2.2875000000000014,0.03147919999999732
-2.2624999999999993,0.03480880000000198
-2.2375000000000007,0.03780640000000215
-2.2124999999999986,0.040864799999996516
-2.1875,0.04452800000000253
-2.1625000000000014,0.0480711999999959
-2.1374999999999993,0.051681600000002936
-2.1125000000000007,0.055527200000003156
-2.0874999999999986,0.059460799999994936
-2.0625,0.0634224000000036
-2.0375000000000014,0.0679223999999942
-2.0124999999999993,0.07253440000000412
-1.9875000000000007,0.07664560000000435
-1.9624999999999986,0.08064879999999312
-1.9375,0.08538480000000487
-1.9125000000000014,0.0902599999999923
-1.8874999999999993,0.09484640000000538
-1.8625000000000007,0.09964080000000566
-1.8374999999999986,0.10499919999999104
-1.8125,0.10949360000000623
-1.7875000000000014,0.11432959999999026
-1.7624999999999993,0.11925680000000678
-1.7375000000000007,0.12430400000000706
-1.7124999999999986,0.12982159999998893
-1.6875,0.1349504000000077
-1.6625000000000014,0.13986079999998807
-1.6374999999999993,0.14491840000000825
-1.6125000000000007,0.15043680000000856
-1.5874999999999986,0.15532959999998674
-1.5625,0.16036800000000911
-1.5375000000000014,0.16583439999998587
-1.5124999999999993,0.17116400000000973
-1.4875000000000007,0.17592560000000998
-1.4624999999999986,0.18137599999998455
-1.4375,0.1861472000000106
-1.4125000000000014,0.1912455999999837
-1.3874999999999993,0.1955648000000111
-1.3625000000000007,0.20144960000001144
-1.3374999999999986,0.20629759999998243
-1.3125,0.21028800000001197
-1.2875000000000014,0.21503919999998167
-1.2624999999999993,0.21948800000001248
-1.2375000000000007,0.2233256000000127
-1.2124999999999986,0.22702319999998063
-1.1875,0.2322800000000132
-1.1625000000000014,0.2359863999999799
-1.1374999999999993,0.24009120000001363
-1.1125000000000007,0.24366400000001387
-1.0874999999999986,0.24608479999997904
-1.0625,0.25089360000001426
-1.0375000000000014,0.2528807999999784
-1.0124999999999993,0.2561688000000146
-0.9875000000000007,0.2589728000000147
-0.9624999999999986,0.2616191999999777
-0.9375,0.264029600000015
-0.9125000000000014,0.26628479999997734
-0.8874999999999993,0.26876720000001525
-0.8625000000000007,0.27117120000001543
-0.8374999999999986,0.27349679999997667
-0.8125,0.2749064000000156
-0.7875000000000014,0.2781919999999763
-0.7624999999999993,0.2793008000000159
-0.7375000000000007,0.28238160000001605
-0.7124999999999986,0.28489039999997573
-0.6875,0.28595040000001626
-0.6625000000000014,0.2872143999999755
-0.6374999999999993,0.28893360000001644
-0.6125000000000007,0.28958320000001647
-0.5874999999999986,0.29270479999997506
-0.5625,0.2944912000000167
-0.5375000000000014,0.29632479999997474
-0.5124999999999993,0.29686080000001686
-0.4875000000000007,0.29819680000001697
-0.4624999999999986,0.29824159999997457
-0.4375,0.3007816000000171
-0.4125000000000014,0.30173359999997423
-0.3874999999999993,0.30188880000001717
-0.3625000000000007,0.30304960000001724
-0.3374999999999986,0.3037919999999741
-0.3125,0.3063288000000174
-0.2875000000000014,0.3064287999999739
-0.2624999999999993,0.30674800000001745
-0.2375000000000007,0.3078896000000175
-0.21249999999999858,0.3087799999999737
-0.1875,0.3082976000000175
-0.16250000000000142,0.30965039999997357
-0.1374999999999993,0.3101664000000176
-0.11250000000000071,0.31035280000001764
-0.08749999999999858,0.3113111999999734
-0.0625,0.31194320000001774
-0.03750000000000142,0.3125991999999734
-0.01249999999999929,0.31187760000001774
0.01249999999999929,0.3111992000000177
0.03750000000000142,0.31208559999997343
0.0625,0.3128368000000178
0.08749999999999858,0.3122055999999734
0.11250000000000071,0.3114488000000177
0.1374999999999993,0.3123872000000178
0.16250000000000142,0.31141599999997344
0.1875,0.3112528000000177
0.21249999999999858,0.3106791999999735
0.2375000000000007,0.3113448000000177
0.2624999999999993,0.31058160000001767
0.2875000000000014,0.31022239999997353
0.3125,0.3091392000000176
0.3374999999999986,0.30893919999997366
0.3625000000000007,0.30843440000001754
0.3874999999999993,0.3083168000000175
0.4125000000000014,0.30789759999997374
0.4375,0.30664400000001746
0.4624999999999986,0.30562319999997395
0.4875000000000007,0.3046024000000173
0.5124999999999993,0.3040128000000173
0.5375000000000014,0.30321919999997415
0.5625,0.30200240000001716
0.5874999999999986,0.3009215999999743
0.6125000000000007,0.29993280000001704
0.6374999999999993,0.29786800000001695
0.6625000000000014,0.2970311999999747
0.6875,0.2954376000000168
0.7124999999999986,0.293578399999975
0.7375000000000007,0.2931136000000166
0.7624999999999993,0.29137600000001657
0.7875000000000014,0.28864399999997536
0.8125,0.28782400000001634
0.8374999999999986,0.2860087999999756
0.8625000000000007,0.28386320000001614
0.8874999999999993,0.28172480000001604
0.9125000000000014,0.27946879999997615
0.9375,0.2777448000000158
0.9624999999999986,0.2756895999999765
0.9875000000000007,0.27316320000001554
1.0124999999999993,0.27068800000001536
1.0375000000000014,0.26773919999997714
1.0625,0.264425600000015
1.0874999999999986,0.2617175999999777
1.1125000000000007,0.2589752000000147
1.1374999999999993,0.25578320000001453
1.1625000000000014,0.2527015999999785
1.1875,0.24928960000001416
1.2124999999999986,0.24464879999997913
1.2375000000000007,0.24197920000001374
1.2624999999999993,0.23676640000001345
1.2875000000000014,0.2334119999999801
1.3125,0.228827200000013
1.3374999999999986,0.2241855999999809
1.3625000000000007,0.21960160000001247
1.3874999999999993,0.21526720000001223
1.4125000000000014,0.21009199999998207
1.4375,0.20623520000001175
1.4624999999999986,0.20021599999998294
1.4875000000000007,0.1955584000000111
1.5124999999999993,0.1903736000000108
1.5375000000000014,0.18499839999998424
1.5625,0.18043520000001023
1.5874999999999986,0.1748191999999851
1.6125000000000007,0.1693528000000096
1.6374999999999993,0.16413120000000933
1.6625000000000014,0.15880559999998645
1.6875,0.15324080000000873
1.7124999999999986,0.14827999999998737
1.7375000000000007,0.14286800000000813
1.7624999999999993,0.1373928000000078
1.7875000000000014,0.1323039999999887
1.8125,0.12738880000000724
1.8374999999999986,0.12164719999998963
1.8625000000000007,0.11694720000000665
1.8874999999999993,0.11170480000000635
1.9125000000000014,0.10608799999999095
1.9375,0.10141840000000578
1.9624999999999986,0.0961167999999918
1.9875000000000007,0.09171440000000522
2.012500000000003,0.08654480000000492
2.0374999999999943,0.08204000000000466
2.0625,0.07778559999998232
2.0875000000000057,0.07277920000000414
2.112499999999997,0.06792240000000387
2.137500000000003,0.06398160000000364
2.1624999999999943,0.05960560000000339
2.1875,0.055883199999987296
2.2125000000000057,0.05232480000000297
2.237499999999997,0.04795280000000273
2.262500000000003,0.04434400000000253
2.2874999999999943,0.04082960000000232
2.3125,0.03728559999999152
2.3375000000000057,0.03397920000000193
2.362499999999997,0.031008800000001766
2.387500000000003,0.0280680000000016
2.4124999999999943,0.02518720000000143
2.4375,0.02239039999999491
2.4625000000000057,0.019800800000001124
2.487499999999997,0.017585600000001
2.512500000000003,0.015199200000000863
2.5374999999999943,0.013236000000000752
2.5625,0.011419999999997404
2.5875000000000057,0.009709600000000552
2.612499999999997,0.007968000000000452
2.637500000000003,0.006660800000000379
2.6624999999999943,0.005339200000000304
2.6875,0.004367199999999007
2.7125000000000057,0.0032816000000001865
2.737499999999997,0.002585600000000147
2.762500000000003,0.0018448000000001047
2.7874999999999943,0.0013168000000000747
2.8125,0.0008167999999998143
2.8375000000000057,0.0005144000000000292
2.862499999999997,0.0002936000000000167
2.887500000000003,0.00016160000000000919
2.9124999999999943,5.680000000000323e-05
2.9375,2.3999999999994542e-05
2.9625000000000057,6.400000000000364e-06
2.987499999999997,2.4000000000001363e-06
3.012500000000003,0.0
3.0374999999999943,0.0
3.0625,0.0
3.0875000000000057,0.0
3.112499999999997,0.0
3.137500000000003,0.0
3.1624999999999943,0.0
3.1875,0.0
3.2125000000000057,0.0
3.237499999999997,0.0
3.262500000000003,0.0
3.2874999999999943,0.0
3.3125,0.0
3.3375000000000057,0.0
3.362499999999997,0.0
3.387500000000003,0.0
3.4124999999999943,0.0
3.4375,0.0
3.4625000000000057,0.0
3.487499999999997,0.0
3.512500000000003,0.0
3.5374999999999943,0.0
3.5625,0.0
3.5875000000000057,0.0
3.612499999999997,0.0
3.637500000000003,0.0
3.6624999999999943,0.0
3.6875,0.0
3.7125000000000057,0.0
3.737499999999997,0.0
3.762500000000003,0.0
3.7874999999999943,0.0
3.8125,0.0
3.8375000000000057,0.0
3.862499999999997,0.0
3.887500000000003,0.0
3.9124999999999943,0.0
3.9375,0.0
3.9625000000000057,0.0
3.987499999999997,0.0
