# First column -- energy in center of bin, bin
#             width 0.05 MeV. Bins start from
#             1.800000 and end at 13.000000
#             MeV
# Second column -- uncorrelated antineutrino spectrum uncertainty for Pu239, Huber model at given point
# Uncertainty is interpolated/extrapolated and then scaled in
#         each fine bin to match original uncertainty in coarse bin of 250 keV
1.824999999999999956e+00 1.191964422121553034e-02
1.875000000000000000e+00 1.183896747979318147e-02
1.925000000000000044e+00 1.176402598095859474e-02
1.975000000000000089e+00 1.169492998010511660e-02
2.024999999999999911e+00 1.163178364930670013e-02
2.075000000000000178e+00 1.161674324273759967e-02
2.125000000000000444e+00 1.156559571224581931e-02
2.175000000000000266e+00 1.152068945109670749e-02
2.225000000000000089e+00 1.148209768797347693e-02
2.275000000000000355e+00 1.132132878192692108e-02
2.325000000000000622e+00 1.086435038976380982e-02
2.375000000000000444e+00 1.058474282880476555e-02
2.425000000000000266e+00 1.030746021079292397e-02
2.475000000000000533e+00 1.003269530719423132e-02
2.525000000000000799e+00 9.954369612420821758e-03
2.575000000000000622e+00 1.019378800395217936e-02
2.625000000000000444e+00 1.032006435726388026e-02
2.675000000000000711e+00 1.045112725547508656e-02
2.725000000000000977e+00 1.058679893006931640e-02
2.775000000000000799e+00 1.092950147895965438e-02
2.825000000000000622e+00 1.158064997447546748e-02
2.875000000000000888e+00 1.213271178944171254e-02
2.925000000000001155e+00 1.268510460476489007e-02
2.975000000000000977e+00 1.323778698407807562e-02
3.025000000000000799e+00 1.364256365318202921e-02
3.075000000000001066e+00 1.378372247222025768e-02
3.125000000000001332e+00 1.404050145820786091e-02
3.175000000000001155e+00 1.429847493955860825e-02
3.225000000000000977e+00 1.455757941379455696e-02
3.275000000000001243e+00 1.480556831913375053e-02
3.325000000000001510e+00 1.511110764998686677e-02
3.375000000000001332e+00 1.535115741151479862e-02
3.425000000000001155e+00 1.559276995582518054e-02
3.475000000000001421e+00 1.583587375158149527e-02
3.525000000000001688e+00 1.592998399949044352e-02
3.575000000000001510e+00 1.577532526689207071e-02
3.625000000000001332e+00 1.572696524487431427e-02
3.675000000000001599e+00 1.568279555061027897e-02
3.725000000000001865e+00 1.564285168000113455e-02
3.775000000000001688e+00 1.568241865257453960e-02
3.825000000000001510e+00 1.571936176821321987e-02
3.875000000000001332e+00 1.583467068508458836e-02
3.925000000000002043e+00 1.594997965190969244e-02
3.975000000000001865e+00 1.606528866761288907e-02
4.025000000000002132e+00 1.654410312119487109e-02
4.075000000000001954e+00 1.758192604235042991e-02
4.125000000000002665e+00 1.843413347727056867e-02
4.175000000000002487e+00 1.928654064301016727e-02
4.225000000000002309e+00 2.013912217820447090e-02
4.275000000000002132e+00 2.130209079131040878e-02
4.325000000000002842e+00 2.291276919966275458e-02
4.375000000000002665e+00 2.439522720518627619e-02
4.425000000000002487e+00 2.587783439071631580e-02
4.475000000000002309e+00 2.736056650508267643e-02
4.525000000000003020e+00 2.816779506790749107e-02
4.575000000000002842e+00 2.797325224534438770e-02
4.625000000000002665e+00 2.810798474393684868e-02
4.675000000000002487e+00 2.824530368598841129e-02
4.725000000000003197e+00 2.838517153421195316e-02
4.775000000000003020e+00 2.814610694065576568e-02
4.825000000000002842e+00 2.716321628214610900e-02
4.875000000000002665e+00 2.656419428663119378e-02
4.925000000000003375e+00 2.597303438409633361e-02
4.975000000000003197e+00 2.539028573784335788e-02
5.025000000000003020e+00 2.535526113651144151e-02
5.075000000000002842e+00 2.629539565378604532e-02
5.125000000000003553e+00 2.681019699369344839e-02
5.175000000000003375e+00 2.732514895359023158e-02
5.225000000000003197e+00 2.784024317557019096e-02
5.275000000000003020e+00 2.855115066074546959e-02
5.325000000000003730e+00 2.939929765688453073e-02
5.375000000000003553e+00 3.031071992416307925e-02
5.425000000000003375e+00 3.122551591686055505e-02
5.475000000000003197e+00 3.214339758919803475e-02
5.525000000000003908e+00 3.305001772563304074e-02
5.575000000000003730e+00 3.402443977802173392e-02
5.625000000000003553e+00 3.492179795731154002e-02
5.675000000000003375e+00 3.582020229842498155e-02
5.725000000000004086e+00 3.671957601327433679e-02
5.775000000000003908e+00 3.870964247869845831e-02
5.825000000000003730e+00 4.209422245847231625e-02
5.875000000000003553e+00 4.519695242192355022e-02
5.925000000000003375e+00 4.829977485474902521e-02
5.975000000000004086e+00 5.140267301174945153e-02
6.025000000000003908e+00 5.355301481024409005e-02
6.075000000000003730e+00 5.397571556951007848e-02
6.125000000000004441e+00 5.515792451907593208e-02
6.175000000000004263e+00 5.634088666156098629e-02
6.225000000000004086e+00 5.752455552993870208e-02
6.275000000000003908e+00 5.836165516183410701e-02
6.325000000000003730e+00 5.909664039516595441e-02
