# First column -- energy in center of bin, bin
#             width 0.05 MeV. Bins start from
#             1.800000 and end at 13.000000
#             MeV
# Second column -- antineutrino spectrum for Pu241, Huber model at given point
# 
E N_per_fission_per_MeV
1.027500000000000924e+01 9.492689130597758705e-06
1.032500000000000817e+01 8.558271256509645107e-06
1.037500000000000888e+01 7.715833299956250727e-06
1.042500000000000959e+01 6.956321169118176159e-06
1.047500000000000853e+01 6.271572016491893569e-06
1.052500000000000924e+01 5.654226508784099273e-06
1.057500000000000817e+01 5.097649732565789736e-06
1.062500000000000888e+01 4.595859885619631257e-06
1.067500000000000959e+01 4.143463987592649607e-06
1.072500000000000853e+01 3.735599919004619390e-06
1.077500000000000924e+01 3.367884165677260043e-06
1.082500000000000817e+01 3.036364706968408888e-06
1.087500000000000888e+01 2.737478541477490287e-06
1.092500000000000959e+01 2.468013393730861222e-06
1.097500000000000853e+01 2.225073190289714950e-06
1.102500000000000924e+01 2.006046934235531211e-06
1.107500000000000995e+01 1.808580643512139111e-06
1.112500000000000888e+01 1.630552051531785841e-06
1.117500000000000959e+01 1.470047798140473920e-06
1.122500000000001030e+01 1.325342865802731005e-06
1.127500000000000924e+01 1.194882039996327535e-06
1.132500000000000995e+01 1.077263194562887637e-06
1.137500000000000888e+01 9.712222223738579472e-07
1.142500000000000959e+01 8.756194493543006087e-07
1.147500000000001030e+01 7.894273858494934050e-07
1.152500000000000924e+01 7.117196836921826567e-07
1.157500000000000995e+01 6.416611802867881328e-07
1.162500000000000888e+01 5.784989227094462680e-07
1.167500000000000959e+01 5.215540753554898484e-07
1.172500000000001030e+01 4.702146241619591232e-07
1.177500000000000924e+01 4.239287989937964855e-07
1.182500000000000995e+01 3.821991435009510438e-07
1.187500000000001066e+01 3.445771687122349888e-07
1.192500000000000959e+01 3.106585329054899458e-07
1.197500000000001030e+01 2.800786959497832135e-07
1.202500000000001101e+01 2.525090014147321117e-07
1.207500000000000995e+01 2.276531443394664266e-07
1.212500000000001066e+01 2.052439866986146532e-07
1.217500000000000959e+01 1.850406863395924971e-07
1.222500000000001030e+01 1.668261085344553259e-07
1.227500000000001101e+01 1.504044923270203488e-07
1.232500000000000995e+01 1.355993465943415057e-07
1.237500000000001066e+01 1.222515532104822296e-07
1.242500000000000959e+01 1.102176569263725622e-07
1.247500000000001030e+01 9.936832358623904721e-08
1.252500000000001101e+01 8.958695011032156539e-08
1.257500000000000995e+01 8.076841130467407944e-08
1.262500000000001066e+01 7.281793002940262604e-08
1.267500000000001137e+01 6.565005858249590968e-08
1.272500000000001030e+01 5.918776035167256503e-08
1.277500000000001101e+01 5.336158186431640350e-08
1.282500000000001172e+01 4.810890633711359473e-08
1.287500000000001066e+01 4.337328070292630939e-08
1.292500000000001137e+01 3.910380888213090453e-08
1.297500000000001030e+01 3.525460477761531484e-08
