# First column -- energy in center of bin, bin
#             width 0.05 MeV. Bins start from
#             1.800000 and end at 13.000000
#             MeV
# Second column -- antineutrino spectrum for U235, Huber model at given point
# 
E N_per_fission_per_MeV
9.775000000000007461e+00 2.147791324745009647e-05
9.825000000000008171e+00 1.901666176855010702e-05
9.875000000000008882e+00 1.683745625811066028e-05
9.925000000000007816e+00 1.490797578955966641e-05
9.975000000000008527e+00 1.319960323787266035e-05
1.002500000000000746e+01 1.168700084415720611e-05
1.007500000000000817e+01 1.034773441821601983e-05
1.012500000000000888e+01 9.161940605443194869e-06
1.017500000000000782e+01 8.112032283115023590e-06
1.022500000000000853e+01 7.182437716656318462e-06
1.027500000000000924e+01 6.359369607172920100e-06
1.032500000000000817e+01 5.630620604874765359e-06
1.037500000000000888e+01 4.985382255543147442e-06
1.042500000000000959e+01 4.414084694743375144e-06
1.047500000000000853e+01 3.908254712204624062e-06
1.052500000000000924e+01 3.460390081245963817e-06
1.057500000000000817e+01 3.063848289363626099e-06
1.062500000000000888e+01 2.712748019684657263e-06
1.067500000000000959e+01 2.401881922107670271e-06
1.072500000000000853e+01 2.126639380394161082e-06
1.077500000000000924e+01 1.882938129728972159e-06
1.082500000000000817e+01 1.667163710534747536e-06
1.087500000000000888e+01 1.476115860548246392e-06
1.092500000000000959e+01 1.306961050071794190e-06
1.097500000000000853e+01 1.157190456425520991e-06
1.102500000000000924e+01 1.024582754297644643e-06
1.107500000000000995e+01 9.071711701173289909e-07
1.112500000000000888e+01 8.032143118163174398e-07
1.117500000000000959e+01 7.111703413404494888e-07
1.122500000000001030e+01 6.296741068502668842e-07
1.127500000000000924e+01 5.575168954464001721e-07
1.132500000000000995e+01 4.936285061219814139e-07
1.137500000000000888e+01 4.370613770567732200e-07
1.142500000000000959e+01 3.869765318365905176e-07
1.147500000000001030e+01 3.426311361592206838e-07
1.152500000000000924e+01 3.033674804738091741e-07
1.157500000000000995e+01 2.686032251495647455e-07
1.162500000000000888e+01 2.378227634948402332e-07
1.167500000000000959e+01 2.105695745269943351e-07
1.172500000000001030e+01 1.864394520730619828e-07
1.177500000000000924e+01 1.650745097784663248e-07
1.182500000000000995e+01 1.461578731089716027e-07
1.187500000000001066e+01 1.294089796202132413e-07
1.192500000000000959e+01 1.145794177906446673e-07
1.197500000000001030e+01 1.014492427014886144e-07
1.202500000000001101e+01 8.982371391963825768e-08
1.207500000000000995e+01 7.953040720134055757e-08
1.212500000000001066e+01 7.041665717885840613e-08
1.217500000000000959e+01 6.234729310126462829e-08
1.222500000000001030e+01 5.520263404696301767e-08
1.227500000000001101e+01 4.887671387390386249e-08
1.232500000000000995e+01 4.327570958079842146e-08
1.237500000000001066e+01 3.831654976955223308e-08
1.242500000000000959e+01 3.392568257029829034e-08
1.247500000000001030e+01 3.003798475548606529e-08
1.252500000000001101e+01 2.659579586353722828e-08
1.257500000000000995e+01 2.354806300664886823e-08
1.262500000000001066e+01 2.084958367895042003e-08
1.267500000000001137e+01 1.846033533470744356e-08
1.272500000000001030e+01 1.634488179319863694e-08
1.277500000000001101e+01 1.447184766635064663e-08
1.282500000000001172e+01 1.281345301409318643e-08
1.287500000000001066e+01 1.134510132566760387e-08
1.292500000000001137e+01 1.004501471602530221e-08
1.297500000000001030e+01 8.893910926725661128e-09
