# First column -- energy in center of bin, bin
#             width 0.05 MeV. Bins start from
#             1.800000 and end at 13.000000
#             MeV
# Second column -- antineutrino spectrum for U238, Mueller model at given point
# 
E N_per_fission_per_MeV
6.025000000000003908e+00 6.039378185475283156e-02
6.075000000000003730e+00 5.712069428292752132e-02
6.125000000000004441e+00 5.402499421564033871e-02
6.175000000000004263e+00 5.109706800031539597e-02
6.225000000000004086e+00 4.832782300369024842e-02
6.275000000000003908e+00 4.573791623758560049e-02
6.325000000000003730e+00 4.331451027804765486e-02
6.375000000000004441e+00 4.101950755433302065e-02
6.425000000000004263e+00 3.884610467021138575e-02
6.475000000000004086e+00 3.678785870479363285e-02
6.525000000000004796e+00 3.481702449749640715e-02
6.575000000000004619e+00 3.293130232038467969e-02
6.625000000000004441e+00 3.114771259659352212e-02
6.675000000000004263e+00 2.946072373819977330e-02
6.725000000000004086e+00 2.786510375318699759e-02
6.775000000000004796e+00 2.622260438674709621e-02
6.825000000000004619e+00 2.455211372201978118e-02
6.875000000000004441e+00 2.298804036885254004e-02
6.925000000000005151e+00 2.152360509498814703e-02
6.975000000000004974e+00 2.015246053389997682e-02
7.025000000000004796e+00 1.876792737969876224e-02
7.075000000000004619e+00 1.738520116312524191e-02
7.125000000000004441e+00 1.610434723917726282e-02
7.175000000000005151e+00 1.491786017121784005e-02
7.225000000000004974e+00 1.381878748532107404e-02
7.275000000000004796e+00 1.273996068002907454e-02
7.325000000000005507e+00 1.168963580908352271e-02
7.375000000000005329e+00 1.072590322536978204e-02
7.425000000000005151e+00 9.841623971775173216e-03
7.475000000000004974e+00 9.030247650633685744e-03
7.525000000000004796e+00 8.340689307245355982e-03
7.575000000000005507e+00 7.754853839761495504e-03
7.625000000000005329e+00 7.210166433585231578e-03
7.675000000000005151e+00 6.703736920668777396e-03
7.725000000000005862e+00 6.232878133326438287e-03
7.775000000000005684e+00 5.746721454411844732e-03
7.825000000000005507e+00 5.254259252939313431e-03
7.875000000000005329e+00 4.803998334720729728e-03
7.925000000000005151e+00 4.392322283505357798e-03
7.975000000000005862e+00 4.015924589886270615e-03
8.025000000000005684e+00 3.671782094000247427e-03
8.075000000000006395e+00 3.357130704041086117e-03
8.125000000000007105e+00 3.069443195561988736e-03
8.175000000000006040e+00 2.806408913254666588e-03
8.225000000000006750e+00 2.565915212173585768e-03
8.275000000000005684e+00 2.346030489344582033e-03
8.325000000000006395e+00 2.144988669470511162e-03
8.375000000000007105e+00 1.961175020126129393e-03
8.425000000000006040e+00 1.793113182512133053e-03
8.475000000000006750e+00 1.639453313601758845e-03
8.525000000000007461e+00 1.498961244439795705e-03
8.575000000000006395e+00 1.370508567515268386e-03
8.625000000000007105e+00 1.253063573591403981e-03
8.675000000000006040e+00 1.145682965199099979e-03
8.725000000000006750e+00 1.047504280238062239e-03
8.775000000000007461e+00 9.577389648334135464e-04
8.825000000000006395e+00 8.756660398100883733e-04
8.875000000000007105e+00 8.006263099153063372e-04
8.925000000000007816e+00 7.320170692786238074e-04
8.975000000000006750e+00 6.692872605847186972e-04
9.025000000000007461e+00 6.119330490782543160e-04
9.075000000000006395e+00 5.594937758520365789e-04
9.125000000000007105e+00 5.115482579159362367e-04
9.175000000000007816e+00 4.677114053294368387e-04
9.225000000000006750e+00 4.276311282271746863e-04
9.275000000000007461e+00 3.909855088952573663e-04
9.325000000000008171e+00 3.574802161849941406e-04
9.375000000000007105e+00 3.268461414970374426e-04
9.425000000000007816e+00 2.988372373485919374e-04
9.475000000000006750e+00 2.732285411634527341e-04
9.525000000000007461e+00 2.498143684122777937e-04
9.575000000000008171e+00 2.284066605907450096e-04
9.625000000000007105e+00 2.088334747668259348e-04
9.675000000000007816e+00 1.909376025654897107e-04
9.725000000000008527e+00 1.745753074987778527e-04
9.775000000000007461e+00 1.596151704996916448e-04
9.825000000000008171e+00 1.459370343874310898e-04
9.875000000000008882e+00 1.334310387861245843e-04
9.925000000000007816e+00 1.219967377456706404e-04
9.975000000000008527e+00 1.115422929775885163e-04
1.002500000000000746e+01 1.019837362260925170e-04
1.007500000000000817e+01 9.324429484987279250e-05
1.012500000000000888e+01 8.525377519779009274e-05
1.017500000000000782e+01 7.794799882585278774e-05
1.022500000000000853e+01 7.126828702727786371e-05
1.027500000000000924e+01 6.516098953547319399e-05
1.032500000000000817e+01 5.957705361456098792e-05
1.037500000000000888e+01 5.447163007645823275e-05
1.042500000000000959e+01 4.980371306011218113e-05
1.047500000000000853e+01 4.553581067965840271e-05
1.052500000000000924e+01 4.163364389620916441e-05
1.057500000000000817e+01 3.806587119466126799e-05
1.062500000000000888e+01 3.480383685417631377e-05
1.067500000000000959e+01 3.182134079048765265e-05
1.072500000000000853e+01 2.909442812144563621e-05
1.077500000000000924e+01 2.660119676563114751e-05
1.082500000000000817e+01 2.432162152870203991e-05
1.087500000000000888e+01 2.223739326456523104e-05
1.092500000000000959e+01 2.033177181954618743e-05
1.097500000000000853e+01 1.858945157842782698e-05
1.102500000000000924e+01 1.699643853244985330e-05
1.107500000000000995e+01 1.553993788189941998e-05
1.112500000000000888e+01 1.420825127053752079e-05
1.117500000000000959e+01 1.299068282646545238e-05
1.122500000000001030e+01 1.187745325476915276e-05
1.127500000000000924e+01 1.085962129194799209e-05
1.132500000000000995e+01 9.929011891263523146e-06
1.137500000000000888e+01 9.078150562207002767e-06
1.142500000000000959e+01 8.300203336710040603e-06
1.147500000000001030e+01 7.588921879919060126e-06
1.152500000000000924e+01 6.938593304672262313e-06
1.157500000000000995e+01 6.343994286597659223e-06
1.162500000000000888e+01 5.800349111293658838e-06
1.167500000000000959e+01 5.303291316633370533e-06
1.172500000000001030e+01 4.848828622111346630e-06
1.177500000000000924e+01 4.433310863550996300e-06
1.182500000000000995e+01 4.053400675629785970e-06
1.187500000000001066e+01 3.706046686750012012e-06
1.192500000000000959e+01 3.388459010960423135e-06
1.197500000000001030e+01 3.098086840084454421e-06
1.202500000000001101e+01 2.832597956079162419e-06
1.207500000000000995e+01 2.589859999071277638e-06
1.212500000000001066e+01 2.367923340618976297e-06
1.217500000000000959e+01 2.165005424640270305e-06
1.222500000000001030e+01 1.979476450236992805e-06
1.227500000000001101e+01 1.809846281421628099e-06
1.232500000000000995e+01 1.654752478607937999e-06
1.237500000000001066e+01 1.512949355736583816e-06
1.242500000000000959e+01 1.383297975144529780e-06
1.247500000000001030e+01 1.264756999818644556e-06
1.252500000000001101e+01 1.156374329560574456e-06
1.257500000000000995e+01 1.057279453885937094e-06
1.262500000000001066e+01 9.666764602376843744e-07
1.267500000000001137e+01 8.838376413569027033e-07
1.272500000000001030e+01 8.080976504664883495e-07
1.277500000000001101e+01 7.388481573232289506e-07
1.282500000000001172e+01 6.755329622166363650e-07
1.287500000000001066e+01 6.176435286709996519e-07
1.292500000000001137e+01 5.647148989701342690e-07
1.297500000000001030e+01 5.163219596990541403e-07
